2025/04/06 19:35:085073 INFO  events happend4 - EPollPoller.cc:40
2025/04/06 19:35:085091 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:085106 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:085110 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81598]from %s127.0.0.1:39712 - TcpServer.cc:75
2025/04/06 19:35:085119 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81598]at fd=14 - TcpConnection.cc:52
2025/04/06 19:35:085129 INFO  func =>fd14events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:085136 INFO  HTTP Connection UP: 127.0.0.1:39712 - main.cc:96
2025/04/06 19:35:085150 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:085164 INFO  TcpConnection::handleClose fd=5state=3 - TcpConnection.cc:241
2025/04/06 19:35:085168 INFO  func =>fd5events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:085173 INFO  HTTP Connection DOWN: 127.0.0.1:39694 - main.cc:98
2025/04/06 19:35:085180 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81596 - TcpServer.cc:114
2025/04/06 19:35:085188 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:085194 INFO  TcpConnection::handleClose fd=13state=3 - TcpConnection.cc:241
2025/04/06 19:35:085197 INFO  func =>fd13events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:085201 INFO  HTTP Connection DOWN: 127.0.0.1:39680 - main.cc:98
2025/04/06 19:35:085205 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81595 - TcpServer.cc:114
2025/04/06 19:35:085211 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:085275 INFO  removeChannel fd=5 - EPollPoller.cc:102
2025/04/06 19:35:085284 INFO  removeChannel fd=13 - EPollPoller.cc:102
2025/04/06 19:35:085287 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81596]at fd=5state=0 - TcpConnection.cc:58
2025/04/06 19:35:085297 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81595]at fd=13state=0 - TcpConnection.cc:58
2025/04/06 19:35:085305 INFO  fd total count:4 - EPollPoller.cc:32
